,tweet_id,name,verified,created_at,retweet_count,favorite_count,followers_count,hashtags,text,clean_text,textblob_sentiment,textblob_summary,vader_sentiment_pos,vader_sentiment_neg,vader_sentiment_neu,vader_sentiment_compound,vader_summary
2194,183,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2195,184,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2196,185,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2197,186,OKX_Brasil (antiga OKEx),True,2022-03-09 10:00:01+00:00,246,724,4541,"[{'text': 'BabyDoge', 'indices': [9, 18]}, {'text': 'memecoins', 'indices': [28, 38]}, {'text': 'OKEX', 'indices': [42, 47]}, {'text': 'BABYDOGE', 'indices': [54, 63]}, {'text': 'DOGE', 'indices': [78, 83]}, {'text': 'ELON', 'indices': [94, 99]}]","📈 Compre #BabyDoge e outras #memecoins na #OKEX! 🐶🐕🦴

#BABYDOGE @BabyDogeCoin
#DOGE @dogecoin
#ELON @DogelonMars… https://t.co/vSoGreopjJ",['📈 compre #babydoge e outras #memecoins na #okex 🐶🐕🦴\r\n\r\n#babydoge @babydogecoin\r\n#doge @dogecoin\r\n#elon @dogelonmars… httpstcovsogreopjj'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2198,187,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2199,188,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2254,243,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2255,244,Shannon Bray,True,2022-03-09 17:36:22+00:00,160,272,64683,"[{'text': 'BlueSparrow', 'indices': [21, 33]}, {'text': 'shib', 'indices': [35, 40]}, {'text': 'Cronos', 'indices': [42, 49]}, {'text': 'CRO', 'indices': [51, 55]}, {'text': 'Saitama', 'indices': [58, 66]}, {'text': 'VVS', 'indices': [68, 72]}, {'text': 'Bezoge', 'indices': [74, 81]}, {'text': 'Bone', 'indices': [83, 88]}, {'text': 'dogecoin', 'indices': [90, 99]}]","Bags Reloaded Today: #BlueSparrow, #shib, #Cronos (#CRO), #Saitama, #VVS, #Bezoge, #Bone, #dogecoin 

What else is… https://t.co/l84jSgsF75",['bags reloaded today #bluesparrow #shib #cronos #cro #saitama #vvs #bezoge #bone #dogecoin \r\n\r\nwhat else is… httpstcol84jsgsf75'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2257,246,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2258,247,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2259,248,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2260,249,OKX_Brasil (antiga OKEx),True,2022-03-09 10:00:01+00:00,246,724,4541,"[{'text': 'BabyDoge', 'indices': [9, 18]}, {'text': 'memecoins', 'indices': [28, 38]}, {'text': 'OKEX', 'indices': [42, 47]}, {'text': 'BABYDOGE', 'indices': [54, 63]}, {'text': 'DOGE', 'indices': [78, 83]}, {'text': 'ELON', 'indices': [94, 99]}]","📈 Compre #BabyDoge e outras #memecoins na #OKEX! 🐶🐕🦴

#BABYDOGE @BabyDogeCoin
#DOGE @dogecoin
#ELON @DogelonMars… https://t.co/vSoGreopjJ",['📈 compre #babydoge e outras #memecoins na #okex 🐶🐕🦴\r\n\r\n#babydoge @babydogecoin\r\n#doge @dogecoin\r\n#elon @dogelonmars… httpstcovsogreopjj'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2261,250,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2262,251,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2326,315,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2327,316,Shannon Bray,True,2022-03-09 17:36:22+00:00,160,272,64683,"[{'text': 'BlueSparrow', 'indices': [21, 33]}, {'text': 'shib', 'indices': [35, 40]}, {'text': 'Cronos', 'indices': [42, 49]}, {'text': 'CRO', 'indices': [51, 55]}, {'text': 'Saitama', 'indices': [58, 66]}, {'text': 'VVS', 'indices': [68, 72]}, {'text': 'Bezoge', 'indices': [74, 81]}, {'text': 'Bone', 'indices': [83, 88]}, {'text': 'dogecoin', 'indices': [90, 99]}]","Bags Reloaded Today: #BlueSparrow, #shib, #Cronos (#CRO), #Saitama, #VVS, #Bezoge, #Bone, #dogecoin 

What else is… https://t.co/l84jSgsF75",['bags reloaded today #bluesparrow #shib #cronos #cro #saitama #vvs #bezoge #bone #dogecoin \r\n\r\nwhat else is… httpstcol84jsgsf75'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2329,318,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2330,319,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2331,320,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2332,321,OKX_Brasil (antiga OKEx),True,2022-03-09 10:00:01+00:00,246,724,4541,"[{'text': 'BabyDoge', 'indices': [9, 18]}, {'text': 'memecoins', 'indices': [28, 38]}, {'text': 'OKEX', 'indices': [42, 47]}, {'text': 'BABYDOGE', 'indices': [54, 63]}, {'text': 'DOGE', 'indices': [78, 83]}, {'text': 'ELON', 'indices': [94, 99]}]","📈 Compre #BabyDoge e outras #memecoins na #OKEX! 🐶🐕🦴

#BABYDOGE @BabyDogeCoin
#DOGE @dogecoin
#ELON @DogelonMars… https://t.co/vSoGreopjJ",['📈 compre #babydoge e outras #memecoins na #okex 🐶🐕🦴\r\n\r\n#babydoge @babydogecoin\r\n#doge @dogecoin\r\n#elon @dogelonmars… httpstcovsogreopjj'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2333,322,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2334,323,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2407,396,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2408,397,Shannon Bray,True,2022-03-09 17:36:22+00:00,160,272,64683,"[{'text': 'BlueSparrow', 'indices': [21, 33]}, {'text': 'shib', 'indices': [35, 40]}, {'text': 'Cronos', 'indices': [42, 49]}, {'text': 'CRO', 'indices': [51, 55]}, {'text': 'Saitama', 'indices': [58, 66]}, {'text': 'VVS', 'indices': [68, 72]}, {'text': 'Bezoge', 'indices': [74, 81]}, {'text': 'Bone', 'indices': [83, 88]}, {'text': 'dogecoin', 'indices': [90, 99]}]","Bags Reloaded Today: #BlueSparrow, #shib, #Cronos (#CRO), #Saitama, #VVS, #Bezoge, #Bone, #dogecoin 

What else is… https://t.co/l84jSgsF75",['bags reloaded today #bluesparrow #shib #cronos #cro #saitama #vvs #bezoge #bone #dogecoin \r\n\r\nwhat else is… httpstcol84jsgsf75'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2410,399,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2411,400,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2412,401,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2413,402,OKX_Brasil (antiga OKEx),True,2022-03-09 10:00:01+00:00,246,724,4541,"[{'text': 'BabyDoge', 'indices': [9, 18]}, {'text': 'memecoins', 'indices': [28, 38]}, {'text': 'OKEX', 'indices': [42, 47]}, {'text': 'BABYDOGE', 'indices': [54, 63]}, {'text': 'DOGE', 'indices': [78, 83]}, {'text': 'ELON', 'indices': [94, 99]}]","📈 Compre #BabyDoge e outras #memecoins na #OKEX! 🐶🐕🦴

#BABYDOGE @BabyDogeCoin
#DOGE @dogecoin
#ELON @DogelonMars… https://t.co/vSoGreopjJ",['📈 compre #babydoge e outras #memecoins na #okex 🐶🐕🦴\r\n\r\n#babydoge @babydogecoin\r\n#doge @dogecoin\r\n#elon @dogelonmars… httpstcovsogreopjj'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2414,403,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2415,404,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2489,478,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2490,479,Shannon Bray,True,2022-03-09 17:36:22+00:00,160,272,64683,"[{'text': 'BlueSparrow', 'indices': [21, 33]}, {'text': 'shib', 'indices': [35, 40]}, {'text': 'Cronos', 'indices': [42, 49]}, {'text': 'CRO', 'indices': [51, 55]}, {'text': 'Saitama', 'indices': [58, 66]}, {'text': 'VVS', 'indices': [68, 72]}, {'text': 'Bezoge', 'indices': [74, 81]}, {'text': 'Bone', 'indices': [83, 88]}, {'text': 'dogecoin', 'indices': [90, 99]}]","Bags Reloaded Today: #BlueSparrow, #shib, #Cronos (#CRO), #Saitama, #VVS, #Bezoge, #Bone, #dogecoin 

What else is… https://t.co/l84jSgsF75",['bags reloaded today #bluesparrow #shib #cronos #cro #saitama #vvs #bezoge #bone #dogecoin \r\n\r\nwhat else is… httpstcol84jsgsf75'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2492,481,OKX_Latinoamérica,True,2022-03-09 15:58:38+00:00,67,142,4035,"[{'text': 'BABYDOGE', 'indices': [45, 54]}, {'text': 'doge', 'indices': [65, 70]}, {'text': 'dogecoin', 'indices': [71, 80]}, {'text': 'dogearmy', 'indices': [81, 90]}, {'text': 'dogelonmars', 'indices': [91, 103]}, {'text': 'SHIB', 'indices': [104, 109]}]","🐶 ¿De qué equipo eres? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars #SHIB… https://t.co/FCiJ9kTJId",['🐶 ¿de qué equipo eres 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars #shib… httpstcofcij9ktjid'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2493,482,SlumDOGE Millionaire,True,2022-03-09 05:34:35+00:00,100,812,215252,"[{'text': 'dogecoin', 'indices': [89, 98]}]",We honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train. When I sa… https://t.co/nO8fnrGvKR,['we honestly have to look at this as an opportunity for new investors to get on board the #dogecoin train when i sa… httpstcono8fnrgvkr'],0.36818181818181817,Positive,0.216,0.0,0.784,0.7003,Positive
2494,483,OKX_Brasil (antiga OKEx),True,2022-03-09 15:55:52+00:00,307,655,4541,"[{'text': 'BABYDOGE', 'indices': [53, 62]}, {'text': 'doge', 'indices': [73, 78]}, {'text': 'dogecoin', 'indices': [79, 88]}, {'text': 'dogearmy', 'indices': [89, 98]}, {'text': 'dogelonmars', 'indices': [99, 111]}]","🐶 De qual time você faz parte? 🤔👇

$DOGE ⚔️ $SHIB ⚔️ #BABYDOGE ⚔️ $ELON

#doge #dogecoin #dogearmy #dogelonmars… https://t.co/NsyDKbvT8w",['🐶 de qual time você faz parte 🤔👇\r\n\r\ndoge ⚔️ shib ⚔️ #babydoge ⚔️ elon\r\n\r\n#doge #dogecoin #dogearmy #dogelonmars… httpstconsydkbvt8w'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
2495,484,OKX_Brasil (antiga OKEx),True,2022-03-09 10:00:01+00:00,246,724,4541,"[{'text': 'BabyDoge', 'indices': [9, 18]}, {'text': 'memecoins', 'indices': [28, 38]}, {'text': 'OKEX', 'indices': [42, 47]}, {'text': 'BABYDOGE', 'indices': [54, 63]}, {'text': 'DOGE', 'indices': [78, 83]}, {'text': 'ELON', 'indices': [94, 99]}]","📈 Compre #BabyDoge e outras #memecoins na #OKEX! 🐶🐕🦴

#BABYDOGE @BabyDogeCoin
#DOGE @dogecoin
#ELON @DogelonMars… https://t.co/vSoGreopjJ",['📈 compre #babydoge e outras #memecoins na #okex 🐶🐕🦴\r\n\r\n#babydoge @babydogecoin\r\n#doge @dogecoin\r\n#elon @dogelonmars… httpstcovsogreopjj'],0.0,Neutral,0.0,0.0,1.0,0.0,Neutral
